,0,1,2
963,employee,08-11,315
964,employee,08-10,131
965,employee,06-08,9
966,employee,06-09,74
967,employee,03-12,495
968,employee,03-13,1337
969,employee,03-10,97
970,employee,03-11,256
971,employee,03-14,3905
972,employee,10-09,101
973,employee,10-08,27
974,employee,08-08,3
975,employee,08-09,84
976,employee,01-09,19
977,employee,01-08,1
978,employee,10-12,1373
979,employee,10-13,4431
980,employee,10-10,140
981,employee,10-11,368
982,employee,10-14,6790
983,employee,01-14,3513
984,employee,01-15,3700
985,employee,01-10,88
986,employee,01-11,146
987,employee,01-12,391
988,employee,01-13,1124
989,employee,12-09,95
990,employee,12-08,10
991,employee,12-07,2
992,employee,12-14,7680
993,employee,12-10,115
994,employee,12-11,396
995,employee,12-12,1270
996,employee,12-13,3064
997,criminal,10-13,2532
998,criminal,02-14,3139
999,criminal,10-10,100
1000,criminal,10-11,488
1001,criminal,02-11,194
1002,criminal,02-10,97
1003,criminal,10-14,11238
1004,criminal,03-13,1785
1005,criminal,03-09,32
1006,criminal,05-09,43
1007,criminal,11-09,67
1008,criminal,04-08,1
1009,criminal,09-08,3
1010,criminal,07-13,3331
1011,criminal,08-07,1
1012,criminal,07-14,6840
1013,criminal,08-14,12205
1014,criminal,08-13,2420
1015,criminal,08-12,742
1016,criminal,08-11,324
1017,criminal,07-11,307
1018,criminal,04-13,2839
1019,criminal,01-15,5506
1020,criminal,04-11,216
1021,criminal,04-10,95
1022,criminal,01-10,107
1023,criminal,02-13,1756
1024,criminal,01-12,484
1025,criminal,04-14,4395
1026,criminal,09-14,9314
1027,criminal,07-12,891
1028,criminal,02-12,468
1029,criminal,09-10,106
1030,criminal,09-11,356
1031,criminal,09-12,771
1032,criminal,09-13,2586
1033,criminal,03-12,668
1034,criminal,12-09,60
1035,criminal,12-08,5
1036,criminal,07-10,82
1037,criminal,10-08,7
1038,criminal,06-09,55
1039,criminal,12-07,2
1040,criminal,05-11,264
1041,criminal,11-13,2430
1042,criminal,11-14,21489
1043,criminal,03-10,79
1044,criminal,03-11,226
1045,criminal,11-11,431
1046,criminal,11-10,114
1047,criminal,03-14,3564
1048,criminal,11-12,1051
1049,criminal,10-09,68
1050,criminal,04-12,569
1051,criminal,02-09,10
1052,criminal,05-10,104
