,0,1,2,3
399,officer,10-28-13,-20.7388,180
400,officer,10-28-12,9.3648,55
401,officer,06-28-09,-0.0346,3
402,officer,01-28-10,0.2149,4
403,officer,01-28-09,0.6705,1
404,officer,04-28-14,-24.1572,283
405,officer,04-28-10,-1.2146,5
406,officer,04-28-11,1.3947,15
407,officer,04-28-12,-2.1889,24
408,officer,04-28-13,-0.8279,98
409,officer,04-7-14,-42.3568,621
410,officer,04-7-13,-16.8698,222
411,officer,04-7-12,-6.7066,73
412,officer,04-7-11,-1.9553,37
413,officer,04-7-10,-3.0679,11
414,officer,12-28-08,0.0691,2
415,officer,12-28-09,1.5478,8
416,officer,07-28-09,-2.7962,15
417,officer,02-21-09,0.8439,3
418,officer,09-21-09,1.2658,11
419,officer,09-21-08,0.1007,3
420,officer,08-21-08,-0.788,3
421,officer,08-21-09,-1.3111,8
422,officer,02-7-15,-2.3785,47
423,officer,02-7-14,-22.7399,421
424,officer,07-0-09,-0.0251,3
425,officer,02-7-11,1.3737,20
426,officer,02-7-10,0.2825,6
427,officer,02-7-13,-118.2349,594
428,officer,02-7-12,-1.7982,62
429,officer,06-0-09,2.3073,9
430,officer,11-21-08,-0.1245,4
431,officer,11-21-09,0.7532,12
432,officer,01-0-09,0.9912,3
433,officer,04-0-09,-1.9564,9
434,officer,11-7-14,-115.0918,1446
435,officer,11-7-11,-4.5321,64
436,officer,11-7-10,0.0518,6
437,officer,05-7-09,-0.4619,2
438,officer,11-7-12,-16.0612,149
439,officer,05-21-09,-1.0264,6
440,officer,04-14-14,-29.1218,552
441,officer,04-14-12,-6.5714,109
442,officer,04-14-13,-87.0355,1333
443,officer,04-14-10,-0.1351,9
444,officer,04-14-11,-3.4758,31
445,officer,05-0-13,2.9048,239
446,officer,05-0-12,-2.9542,77
447,officer,05-0-11,6.4291,38
448,officer,05-0-10,-2.3784,14
449,officer,05-0-14,-56.6808,518
450,officer,01-14-15,-59.2128,726
451,officer,01-14-14,-27.5813,473
452,officer,01-14-11,-0.9155,19
453,officer,01-14-10,0.2274,10
454,officer,01-14-13,4.2608,204
455,officer,01-14-12,-3.3697,47
456,officer,12-0-09,-0.272,9
457,officer,12-14-14,-624.7013,3158
458,officer,12-14-11,0.0787,55
459,officer,12-14-10,-3.8996,30
460,officer,12-14-13,-18.2832,346
461,officer,12-14-12,-17.4247,207
462,officer,01-7-10,1.3764,5
463,officer,01-7-11,-1.7383,14
464,officer,01-7-12,-6.9206,70
465,officer,01-7-13,-9.0792,200
466,officer,01-7-14,-42.8855,494
467,officer,01-7-15,-45.3348,815
468,officer,08-28-08,0.0,1
469,officer,12-7-10,-3.2291,27
470,officer,12-7-11,-13.8099,84
471,officer,12-7-12,-3.079,133
472,officer,12-7-13,-16.3658,367
473,officer,12-7-14,-397.7352,3212
474,officer,03-0-09,0.4404,3
475,officer,03-28-09,0.5267,2
476,officer,10-0-08,0.6523,1
477,officer,10-0-09,1.5961,8
478,officer,09-28-09,0.0,3
479,officer,09-0-14,-92.1808,1117
480,officer,09-0-13,-6.5941,284
481,officer,09-0-12,-9.5705,101
482,officer,09-0-11,-0.0631,25
483,officer,09-0-10,2.5695,16
484,officer,11-7-13,-14.1836,353
485,officer,10-28-09,-0.0772,3
486,officer,06-14-09,1.4799,8
487,officer,07-7-09,-2.3267,5
488,officer,06-28-14,-10.5894,195
489,officer,06-28-12,-2.2522,21
490,officer,06-28-13,4.2045,93
491,officer,06-28-10,-0.1861,5
492,officer,06-28-11,-3.4383,20
493,officer,08-14-09,0.2092,15
494,officer,06-21-13,-13.8741,284
495,officer,06-21-12,-8.8422,82
496,officer,06-21-11,2.5462,27
497,officer,06-21-10,-2.3266,14
498,officer,06-21-14,-19.7331,594
499,officer,09-7-09,2.6274,9
500,officer,09-7-08,0.2732,1
501,officer,04-7-09,1.3758,3
502,officer,09-21-14,-190.5668,1442
503,officer,09-21-12,-14.2828,108
504,officer,09-21-13,-10.4225,357
505,officer,09-21-10,-0.9136,24
506,officer,09-21-11,-10.2509,73
507,officer,04-21-14,-41.8517,650
508,officer,04-21-11,1.225,21
509,officer,04-21-10,-1.1054,14
510,officer,04-21-13,-15.1896,318
511,officer,04-21-12,-8.4218,75
512,officer,02-7-09,0.0,1
513,officer,06-0-12,-2.06,75
514,officer,06-0-13,-7.1752,185
515,officer,06-0-10,-2.1961,9
516,officer,06-0-11,3.1374,26
517,officer,06-0-14,-91.2299,864
518,officer,11-28-09,-0.9689,4
519,officer,04-0-10,0.4019,4
520,officer,04-0-11,0.1227,11
521,officer,04-0-12,-8.0647,68
522,officer,04-0-13,-6.3604,184
523,officer,04-0-14,-30.8366,513
524,officer,05-21-12,-6.453,79
525,officer,05-21-13,-13.2574,252
526,officer,05-21-10,0.1491,9
527,officer,05-21-11,-0.6298,41
528,officer,05-21-14,-37.4935,588
529,officer,05-7-14,-71.047,674
530,officer,11-7-09,2.0316,8
531,officer,05-7-10,-0.6253,13
532,officer,05-7-11,1.0496,37
533,officer,05-7-12,-8.6563,85
534,officer,05-7-13,-9.2298,330
535,officer,01-14-09,0.0201,2
536,officer,05-0-09,0.1259,7
537,officer,05-28-14,-21.4451,425
538,officer,05-28-13,-7.1604,132
539,officer,05-28-12,5.713,50
540,officer,05-28-11,1.0468,11
541,officer,05-28-10,-1.2878,6
542,officer,03-7-09,-0.6919,3
543,officer,08-7-13,-36.3347,280
544,officer,08-7-12,-18.5241,107
545,officer,08-7-11,-5.3577,37
546,officer,08-7-10,-0.3451,11
547,officer,08-7-14,-431.2894,2259
548,officer,12-14-09,-1.223,9
549,officer,10-7-09,-1.2806,6
550,officer,10-7-08,0.0,3
551,officer,10-7-10,3.1472,18
552,officer,08-0-09,-3.7014,9
553,officer,03-21-09,-1.1158,11
554,officer,03-21-08,0.0516,1
555,officer,07-14-14,-82.3101,818
556,officer,07-14-13,-28.5203,374
557,officer,07-14-12,-9.8064,103
558,officer,07-14-11,-0.4756,38
559,officer,07-14-10,-1.2973,9
560,officer,01-28-13,-0.8016,120
561,officer,10-7-13,-15.3185,307
562,officer,01-28-11,-1.161,8
563,officer,10-21-09,0.5556,6
564,officer,08-28-09,-2.2239,5
565,officer,10-7-11,-9.2175,52
566,officer,01-28-15,-17.1449,311
567,officer,09-0-09,0.6894,7
568,officer,06-14-14,-6.8543,551
569,officer,06-14-10,0.3286,21
570,officer,06-14-11,-6.5696,30
571,officer,06-14-12,-2.5611,60
572,officer,06-14-13,-9.5105,204
573,officer,07-21-09,1.3871,39
574,officer,07-7-14,-55.6192,741
575,officer,07-7-12,-6.2144,73
576,officer,07-7-13,-19.1506,325
577,officer,07-7-10,-5.3235,18
578,officer,07-7-11,-1.6042,32
579,officer,09-14-14,-93.5053,1216
580,officer,09-14-11,-1.9225,51
581,officer,09-14-10,-5.4472,25
582,officer,09-14-13,-32.5295,466
583,officer,09-14-12,-2.4185,128
584,officer,02-0-14,-28.7699,328
585,officer,06-21-08,0.5707,1
586,officer,06-21-09,-0.3043,3
587,officer,08-14-12,-5.4576,101
588,officer,08-14-13,-27.6288,291
589,officer,08-14-10,-1.0671,9
590,officer,08-14-11,-0.3631,51
591,officer,08-14-14,-2191.9815,12283
592,officer,08-21-11,1.0558,35
593,officer,06-7-11,0.7095,25
594,officer,06-7-10,-1.8658,12
595,officer,06-7-13,-10.1785,223
596,officer,06-7-12,-6.5457,74
597,officer,06-7-14,-94.3847,896
598,officer,09-7-10,0.7055,12
599,officer,09-7-11,-1.8378,54
