,0,1,2,
326,16,0.0138996341408,idiot,
327,16,0.013677041767,fucker,
328,16,0.0136018085903,dick,
329,16,0.012674589643,lesbian,
330,16,0.0117431892043,mother_fucker,
331,16,0.0112612734796,ass,
332,16,0.0110384542526,motherfucker,
333,16,0.0107014978399,chick,
334,16,0.0102494237444,mexican,
335,16,0.00922389537651,stripper,
336,16,0.00893872154945,liar,
337,16,0.00797984368731,racist,
338,16,0.00791414129569,boyfriend,
339,16,0.00758410155784,asian,
340,17,0.322664127353,boyfriend,Kinship Two
341,17,0.0771692704322,nephew,Kinship Two
342,17,0.0740173199485,niece,Kinship Two
343,17,0.0520527601569,bf,Kinship Two
344,17,0.044765657559,girlfriend,Kinship Two
345,17,0.0307087706302,mommy,Kinship Two
346,17,0.0286648388072,bestfriend,Kinship Two
347,17,0.0238981392357,daddy,Kinship Two
348,17,0.0236535927092,cousin,Kinship Two
349,17,0.0123247385035,aunt,Kinship Two
350,17,0.00847665709611,lover,Kinship Two
351,17,0.00844094286625,doctor,Kinship Two
352,17,0.0084118661569,husband,Kinship Two
353,17,0.00733211919543,brat,Kinship Two
354,17,0.00692036940298,mama,Kinship Two
355,17,0.0065521160772,stranger,Kinship Two
356,17,0.00654806796188,family,Kinship Two
357,17,0.00636058245785,female,Kinship Two
358,17,0.00624013263329,manager,Kinship Two
359,17,0.00621975599113,momma,Kinship Two
360,18,0.0649473194675,liberal,Uninterpretable
361,18,0.0620598408811,racist,Uninterpretable
362,18,0.0339707739852,moron,Uninterpretable
363,18,0.0293319089126,thug,Uninterpretable
364,18,0.0248004541089,conservative,Uninterpretable
365,18,0.0238620209661,idiot,Uninterpretable
366,18,0.0218735005152,criminal,Uninterpretable
367,18,0.0133758910548,coward,Uninterpretable
368,18,0.0132079870539,victim,Uninterpretable
369,18,0.0122088723617,politician,Uninterpretable
370,18,0.0121313805359,bigot,Uninterpretable
371,18,0.0116153869643,citizen,Uninterpretable
372,18,0.011512416139,minority,Uninterpretable
373,18,0.0101283059463,liar,Uninterpretable
374,18,0.0100810606317,christian,Uninterpretable
375,18,0.00985918328905,republican,Uninterpretable
376,18,0.00945799076129,hypocrite,Uninterpretable
377,18,0.00931732121021,american,Uninterpretable
378,18,0.00845829613135,loser,Uninterpretable
379,18,0.00840528030619,owner,Uninterpretable
380,19,0.0290013680576,hero,
381,19,0.0136595654377,clown,
382,19,0.0134913881482,gentleman,
383,19,0.0121963290797,jerk,
384,19,0.0111697045604,idiot,
385,19,0.0105472451156,bastard,
386,19,0.0104709922735,announcer,
387,19,0.0101027051158,runner,
388,19,0.00973276247428,loser,
389,19,0.00944450481706,winner,
390,19,0.00844519485959,moron,
391,19,0.0080839732603,pal,
392,19,0.00805962863513,geniu,
393,19,0.00767162748566,owner,
394,19,0.00682240629256,actor,
